,country_region,capital,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,country_flag
1,Brunei,Bandar Sri Begawan,437483,81.347,32.4,4.591,2.382,71809.251,201.285,12.79,2.7,75.86,0.853,https://www.countryflags.io/bn/flat/64.png
2,Cambodia,Phnom Pehn,16718971,90.672,25.6,4.412,2.385,3645.07,270.892,4,0.8,69.82,0.582,https://www.countryflags.io/kh/flat/64.png
3,Indonesia,Jakarta,273523621,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,1.04,71.72,0.694,https://www.countryflags.io/id/flat/64.png
4,Laos,Vientiane,7275556,29.715,24.4,4.029,2.322,6397.36,368.111,4,1.5,67.92,0.601,https://www.countryflags.io/LA/shiny/64.png
5,Malaysia,Kuala Lumpur,32365998,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1.9,76.16,0.802,https://www.countryflags.io/my/flat/64.png
6,Myanmar,Naypytaw,54409794,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,0.9,67.13,0.578,https://www.countryflags.io/MM/shiny/64.png
7,Philippines,Manila,109581085,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,1,71.23,0.699,https://www.countryflags.io/ph/flat/64.png
8,Singapore,Singapore,5850343,7915.731,42.4,12.922,7.049,85535.383,92.243,10.99,2.4,83.62,0.932,https://www.countryflags.io/sg/flat/64.png
9,Thailand,Bangkok,69799978,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,2.1,77.15,0.755,https://www.countryflags.io/th/flat/64.png
10,Timor-Leste,Dili,1318442,87.176,18,3.556,1.897,6570.102,335.346,6.86,5.9,69.5,0.625,https://www.countryflags.io/TL/shiny/64.png
11,Vietnam,Hanoi,97338583,308.127,32.6,7.15,4.718,6171.884,245.465,6,2.6,75.4,0.694,https://www.countryflags.io/vn/flat/64.png
